"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"1","ipt101","testpasstiles",32,16,16,"success",0
"2","ipt101","testpasstiles",32,16,16,"failure",2
"3","ipt101","testpasstiles",32,16,16,"failure",0
"4","ipt101","testpasstiles",32,16,16,"success",1
"5","ipt101","testpasstiles",32,16,16,"failure",1
"6","ipt101","testpasstiles",32,16,16,"failure",1
"7","ipt101","testpasstiles",32,16,16,"failure",0
"8","ipt101","testpasstiles",32,16,16,"failure",1
"9","ipt101","testpasstiles",32,16,16,"success",0
"10","ipt101","testpasstiles",32,16,16,"failure",1
"11","ipt101","testpasstiles",32,16,16,"failure",0
"12","ipt101","testpasstiles",32,16,16,"failure",0
"13","ipt101","testpasstiles",32,16,16,"failure",1
"14","ipt101","testpasstiles",32,16,16,"success",0
"15","ipt101","testpasstiles",32,16,16,"failure",0
"16","ipt101","testpasstiles",32,16,16,"failure",0
"17","ipt101","testpasstiles",32,16,16,"failure",1
"18","ipt101","testpasstiles",32,16,16,"success",0
"19","ipt101","testpasstiles",32,16,16,"success",0
"20","ipt101","testpasstiles",32,16,16,"failure",1
"21","ipt101","testpasstiles",32,16,16,"failure",0
"22","ipt101","testpasstiles",32,16,16,"failure",0
"23","ipt101","testpasstiles",32,16,16,"success",1
"24","ipt101","testpasstiles",32,16,16,"success",0
"25","ipt101","testpasstiles",32,16,16,"success",0
"26","ipt101","testpasstiles",32,16,16,"success",0
"27","ipt101","testpasstiles",32,16,16,"success",0
"28","ipt101","testpasstiles",32,16,16,"success",0
"29","ipt101","testpasstiles",32,16,16,"success",0
"30","ipt101","testpasstiles",32,16,16,"success",0
"31","ipt101","testpasstiles",32,16,16,"success",0
"32","ipt101","testpasstiles",32,16,16,"success",0
"33","ipt104","testpasstiles",12,12,0,"success",1
"34","ipt104","testpasstiles",12,12,0,"success",1
"35","ipt104","testpasstiles",12,12,0,"success",0
"36","ipt104","testpasstiles",12,12,0,"success",0
"37","ipt104","testpasstiles",12,12,0,"success",0
"38","ipt104","testpasstiles",12,12,0,"success",0
"39","ipt104","testpasstiles",12,12,0,"success",1
"40","ipt104","testpasstiles",12,12,0,"success",0
"41","ipt104","testpasstiles",12,12,0,"success",0
"42","ipt104","testpasstiles",12,12,0,"success",0
"43","ipt104","testpasstiles",12,12,0,"success",0
"44","ipt104","testpasstiles",12,12,0,"success",1
"45","ipt105","testpasstiles",22,15,7,"success",0
"46","ipt105","testpasstiles",22,15,7,"success",0
"47","ipt105","testpasstiles",22,15,7,"success",1
"48","ipt105","testpasstiles",22,15,7,"failure",0
"49","ipt105","testpasstiles",22,15,7,"failure",1
"50","ipt105","testpasstiles",22,15,7,"success",1
"51","ipt105","testpasstiles",22,15,7,"failure",0
"52","ipt105","testpasstiles",22,15,7,"failure",0
"53","ipt105","testpasstiles",22,15,7,"success",0
"54","ipt105","testpasstiles",22,15,7,"success",1
"55","ipt105","testpasstiles",22,15,7,"success",0
"56","ipt105","testpasstiles",22,15,7,"success",1
"57","ipt105","testpasstiles",22,15,7,"success",0
"58","ipt105","testpasstiles",22,15,7,"failure",0
"59","ipt105","testpasstiles",22,15,7,"success",0
"60","ipt105","testpasstiles",22,15,7,"success",0
"61","ipt105","testpasstiles",22,15,7,"success",0
"62","ipt105","testpasstiles",22,15,7,"failure",0
"63","ipt105","testpasstiles",22,15,7,"success",0
"64","ipt105","testpasstiles",22,15,7,"failure",0
"65","ipt105","testpasstiles",22,15,7,"success",1
"66","ipt105","testpasstiles",22,15,7,"success",0
"67","ipt106","testpasstiles",21,15,6,"success",0
"68","ipt106","testpasstiles",21,15,6,"failure",0
"69","ipt106","testpasstiles",21,15,6,"success",1
"70","ipt106","testpasstiles",21,15,6,"failure",0
"71","ipt106","testpasstiles",21,15,6,"failure",0
"72","ipt106","testpasstiles",21,15,6,"failure",0
"73","ipt106","testpasstiles",21,15,6,"failure",0
"74","ipt106","testpasstiles",21,15,6,"success",0
"75","ipt106","testpasstiles",21,15,6,"success",0
"76","ipt106","testpasstiles",21,15,6,"success",1
