"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"200","ipt134","testpasstiles",20,15,5,"success",0
"201","ipt134","testpasstiles",20,15,5,"success",0
"202","ipt134","testpasstiles",20,15,5,"success",0
"203","ipt134","testpasstiles",20,15,5,"success",1
"204","ipt134","testpasstiles",20,15,5,"failure",0
"205","ipt134","testpasstiles",20,15,5,"failure",0
"206","ipt134","testpasstiles",20,15,5,"success",0
"207","ipt134","testpasstiles",20,15,5,"failure",0
"208","ipt134","testpasstiles",20,15,5,"failure",2
"209","ipt134","testpasstiles",20,15,5,"success",0
"210","ipt134","testpasstiles",20,15,5,"success",1
"211","ipt134","testpasstiles",20,15,5,"success",1
"212","ipt134","testpasstiles",20,15,5,"failure",0
"213","ipt134","testpasstiles",20,15,5,"success",1
"214","ipt134","testpasstiles",20,15,5,"success",0
"215","ipt134","testpasstiles",20,15,5,"success",0
"216","ipt134","testpasstiles",20,15,5,"success",0
"217","ipt134","testpasstiles",20,15,5,"success",1
"218","ipt134","testpasstiles",20,15,5,"success",0
"219","ipt134","testpasstiles",20,15,5,"success",0
