"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"99","ast111","testtextrandom",20,12,8,"failure",0
"100","ast111","testtextrandom",20,12,8,"failure",1
"101","ast111","testtextrandom",20,12,8,"failure",0
"102","ast111","testtextrandom",20,12,8,"failure",0
"103","ast111","testtextrandom",20,12,8,"failure",0
"104","ast111","testtextrandom",20,12,8,"failure",0
"105","ast111","testtextrandom",20,12,8,"failure",0
"106","ast111","testtextrandom",20,12,8,"failure",1
"107","ast111","testtextrandom",20,12,8,"success",0
"108","ast111","testtextrandom",20,12,8,"success",0
"109","ast111","testtextrandom",20,12,8,"success",0
"110","ast111","testtextrandom",20,12,8,"success",0
"111","ast111","testtextrandom",20,12,8,"success",0
"112","ast111","testtextrandom",20,12,8,"success",0
"113","ast111","testtextrandom",20,12,8,"success",0
"114","ast111","testtextrandom",20,12,8,"success",0
"115","ast111","testtextrandom",20,12,8,"success",3
"116","ast111","testtextrandom",20,12,8,"success",0
"117","ast111","testtextrandom",20,12,8,"success",0
"118","ast111","testtextrandom",20,12,8,"success",0
