uid,scheme,totalLogin,totalSuccess,totalFail,total,succTime,failTime
ast103,testtextrandom,17,16,1,17,3,0
ast104,testtextrandom,26,16,10,26,2,3
ast105,testtextrandom,15,12,3,15,4,0
ast107,testtextrandom,21,15,6,21,0,0
ast108,testtextrandom,19,19,0,19,1,0
ast111,testtextrandom,20,12,8,20,0,2
ast112,testtextrandom,15,15,0,15,2,0
ast114,testtextrandom,22,15,7,22,4,2
ast115,testtextrandom,15,15,0,15,3,0
ast116,testtextrandom,15,15,0,15,1,0
ast118,testtextrandom,16,15,1,16,0,0
ast125,testtextrandom,18,15,3,18,0,0
ast131,testtextrandom,21,15,6,21,4,1
ast133,testtextrandom,9,9,0,9,1,0
ast134,testtextrandom,15,15,0,15,0,0
ast135,testtextrandom,4,3,1,4,0,0
ast136,testtextrandom,15,15,0,15,3,0
ast138,testtextrandom,16,16,0,16,6,0
